A_课程名称,B_课程名称,导师,名称相似度,主体名称得分,逢星期得分,時間得分,收費得分,堂數得分,上限得分,总分,是否匹配
流行粵語金曲合唱表演班(三)|(SIC250247),流行粵語金曲課程|(SIC250272),,0.7391,44.35,0,0,0,0,0,44.35,否（相似度過低）
(轉班忘憂鼓)成人中國舞|(SIC250244),峰林雲城五天團|(SFP250026),,0.3721,22.33,0,0,0,0,0,22.33,否（相似度過低）
(轉班忘憂鼓)成人中國舞|(SIC250244),中童峰林雲城五天團|(SFP250025),,0.4,24,0,0,0,0,0,24,否（相似度過低）
(轉班忘憂鼓)成人中國舞|(SIC250244),(袁小虹)峰林雲城五天團|(SFP250024),,0.4583,27.5,0,0,0,0,0,27.5,否（相似度過低）
(轉班忘憂鼓)成人中國舞|(SIC250244),(陳雪英梁燕芳)峰林雲城五天團|(SFP250021),,0.3922,23.53,0,0,0,0,0,23.53,否（相似度過低）
(轉班忘憂鼓)成人中國舞|(SIC250244),峰林雲城五天團|(SFP250020),,0.3721,22.33,0,0,0,0,0,22.33,否（相似度過低）
成人中國舞|(SIC250243),峰林雲城五天團|(SFP250026),,0.4444,26.67,0,0,0,0,0,26.67,否（相似度過低）
成人中國舞|(SIC250243),中童峰林雲城五天團|(SFP250025),,0.4737,28.42,0,0,0,0,0,28.42,否（相似度過低）
成人中國舞|(SIC250243),(袁小虹)峰林雲城五天團|(SFP250024),,0.439,26.34,0,0,0,0,0,26.34,否（相似度過低）
成人中國舞|(SIC250243),(陳雪英梁燕芳)峰林雲城五天團|(SFP250021),,0.3636,21.82,0,0,0,0,0,21.82,否（相似度過低）
成人中國舞|(SIC250243),峰林雲城五天團|(SFP250020),,0.4444,26.67,0,0,0,0,0,26.67,否（相似度過低）
口琴課程初班|(SIC250242),成人毛筆書法課程-入門班|(SIC250269),,0.619,37.14,0,0,0,0,0,37.14,否（相似度過低）
輕鬆健體瑜伽課程I(二)|(SIC250241),輕鬆健體瑜伽課程I(二)|(SIC250281),,0.9583,57.5,12,10,8,0,4,91.5,是
輕鬆健體瑜伽課程I(二)|(SIC250241),輕鬆健體瑜伽課程E(三)|(SIC250267),,0.8333,50,0,0,8,0,0,58,否
成人國畫班初班|(SIC250233),峰林雲城五天團|(SFP250026),,0.4211,25.26,0,0,0,0,0,25.26,否（相似度過低）
成人國畫班初班|(SIC250233),中童峰林雲城五天團|(SFP250025),,0.4,24,0,0,0,0,0,24,否（相似度過低）
成人國畫班初班|(SIC250233),(袁小虹)峰林雲城五天團|(SFP250024),,0.3721,22.33,0,0,0,0,0,22.33,否（相似度過低）
成人國畫班初班|(SIC250233),(陳雪英梁燕芳)峰林雲城五天團|(SFP250021),,0.3478,20.87,0,0,0,0,0,20.87,否（相似度過低）
成人國畫班初班|(SIC250233),峰林雲城五天團|(SFP250020),,0.4211,25.26,0,0,0,0,0,25.26,否（相似度過低）
成人鉛筆素描課程(優惠課程)|(SIC250232),成人鉛筆素描課程(優惠課程)|(SIC250295),,0.9231,55.38,12,10,8,0,4,89.38,是
成人鉛筆素描課程(優惠課程)|(SIC250232),(延至26/11)成人肚皮舞課程(優惠課程)|(SIC250255),,0.6667,40,0,0,0,0,0,40,否（相似度過低）
(舊生)(只限仁濟幼稚園)Jolly Phonics兒童英文拼音課程(第七期)|(SIC250223),I LOVE PHONICS B(中班)(優惠課程)|(SIC250311),,0.3596,21.57,0,0,0,0,0,21.57,否（相似度過低）
(舊生)(只限仁濟幼稚園)Jolly Phonics兒童英文拼音課程(第七期)|(SIC250223),(舊生)(只限仁濟幼稚園)Jolly Phonics兒童英文拼音課程(第二期)|(SIC250308),,0.9412,56.47,12,10,8,0,0,86.47,是
(舊生)(只限仁濟幼稚園)Jolly Phonics兒童英文拼音課程(第七期)|(SIC250223),(舊生)(只限仁濟幼稚園)Jolly Phonics兒童英文拼音課程(第八期)|(SIC250307),,0.9412,56.47,12,10,8,0,4,90.47,是
(林希朗/黃浚熙)I LOVE PHONICS B(高班)(優惠課程)|(SIC250222),I LOVE PHONICS B(中班)(優惠課程)|(SIC250311),,0.8,48,0,0,0,0,0,48,否（相似度過低）
(林希朗/黃浚熙)I LOVE PHONICS B(高班)(優惠課程)|(SIC250222),(舊生)(只限仁濟幼稚園)Jolly Phonics兒童英文拼音課程(第二期)|(SIC250308),,0.3265,19.59,0,0,0,0,0,19.59,否（相似度過低）
(林希朗/黃浚熙)I LOVE PHONICS B(高班)(優惠課程)|(SIC250222),(舊生)(只限仁濟幼稚園)Jolly Phonics兒童英文拼音課程(第八期)|(SIC250307),,0.3265,19.59,0,0,0,0,0,19.59,否（相似度過低）
I LOVE PHONICS B(中班)(優惠課程)|(SIC250221),I LOVE PHONICS B(中班)(優惠課程)|(SIC250311),,0.9474,56.84,12,10,8,0,4,90.84,是
I LOVE PHONICS B(中班)(優惠課程)|(SIC250221),(舊生)(只限仁濟幼稚園)Jolly Phonics兒童英文拼音課程(第二期)|(SIC250308),,0.3146,18.88,0,0,0,0,0,18.88,否（相似度過低）
I LOVE PHONICS B(中班)(優惠課程)|(SIC250221),(舊生)(只限仁濟幼稚園)Jolly Phonics兒童英文拼音課程(第八期)|(SIC250307),,0.3146,18.88,0,0,0,0,0,18.88,否（相似度過低）
合唱團表演班|(SIC250210),合唱團表演班|(SIC260004),,0.8333,50,12,10,8,0,0,80,否
輕鬆健體瑜伽課程E(三)|(SIC250209),輕鬆健體瑜伽課程I(二)|(SIC250281),,0.8333,50,0,0,8,0,0,58,否
輕鬆健體瑜伽課程E(三)|(SIC250209),輕鬆健體瑜伽課程E(三)|(SIC250267),,0.9167,55,12,10,8,0,4,89,是
懷舊國語金曲班|(SIC250203),(長者)健體八段錦(優惠課程)|(SIC250297),,0.4348,26.09,0,0,0,0,0,26.09,否（相似度過低）
懷舊國語金曲班|(SIC250203),(長者)太極劍(優惠課程)|(SIC260001),,0.4091,24.55,0,0,0,0,0,24.55,否（相似度過低）
懷舊國語金曲班|(SIC250203),懷舊國語金曲班|(SIC250254),,0.8947,53.68,12,10,8,0,4,87.68,是
懷舊國語金曲班|(SIC250203),健體八段錦(優惠課程)|(SIC250185),,0.4286,25.71,0,0,0,0,0,25.71,否（相似度過低）
養生佛掌拳班(長者)(優惠課程)|(SIC250201),養生佛掌拳班(長者)(優惠課程)|(SIC250289),,0.9286,55.71,12,10,8,0,4,89.71,是
(60歲以下人士)太極劍(優惠課程)|(SIC250193),(長者)健體八段錦(優惠課程)|(SIC250297),,0.6316,37.89,0,0,0,0,0,37.89,否（相似度過低）
(60歲以下人士)太極劍(優惠課程)|(SIC250193),(長者)太極劍(優惠課程)|(SIC260001),,0.7273,43.64,0,0,0,0,0,43.64,否（相似度過低）
(60歲以下人士)太極劍(優惠課程)|(SIC250193),懷舊國語金曲班|(SIC250254),,0.3673,22.04,0,0,0,0,0,22.04,否（相似度過低）
(60歲以下人士)太極劍(優惠課程)|(SIC250193),健體八段錦(優惠課程)|(SIC250185),,0.6038,36.23,0,0,0,0,0,36.23,否（相似度過低）
(長者)太極劍(優惠課程)|(SIC250190),(長者)健體八段錦(優惠課程)|(SIC250297),,0.7692,46.15,0,0,0,0,0,46.15,否（相似度過低）
(長者)太極劍(優惠課程)|(SIC250190),(長者)太極劍(優惠課程)|(SIC260001),,0.88,52.8,12,10,8,0,4,86.8,是
(長者)太極劍(優惠課程)|(SIC250190),懷舊國語金曲班|(SIC250254),,0.4091,24.55,0,0,0,0,0,24.55,否（相似度過低）
(長者)太極劍(優惠課程)|(SIC250190),健體八段錦(優惠課程)|(SIC250185),,0.6667,40,0,0,0,0,0,40,否（相似度過低）
(退款/轉班)(長者)八段錦(優惠課程)|(SIC250186),(長者)健體八段錦(優惠課程)|(SIC250297),,0.7458,44.75,0,0,0,0,0,44.75,否（相似度過低）
(退款/轉班)(長者)八段錦(優惠課程)|(SIC250186),(長者)太極劍(優惠課程)|(SIC260001),,0.6667,40,0,0,0,0,0,40,否（相似度過低）
(退款/轉班)(長者)八段錦(優惠課程)|(SIC250186),懷舊國語金曲班|(SIC250254),,0.3922,23.53,0,0,0,0,0,23.53,否（相似度過低）
(退款/轉班)(長者)八段錦(優惠課程)|(SIC250186),健體八段錦(優惠課程)|(SIC250185),,0.7273,43.64,0,0,0,0,0,43.64,否（相似度過低）
